condition,environment,groupID,subjectID,groupSize,averagePerformance,optimalChoiceRate,optimalChoiceCount,totalRoundNum,taskDifficulty,groupSize_standerized,groupSize_centralized,groupSize_standerized2,groupSize_centralized2,choiceCount_poor,choiceCount_good1,choiceCount_good2,average_entropy,average_gini
6,environment 2,mainRoom6_12,A2OFN0A5CPLH57,24,2.63333333333333,0.666666666666667,20,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,1,9,20,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A2OFN0A5CPLH57,24,2.08571428571429,0.671428571428571,47,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,12,36,22,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A2SEAYIAJR2YD5,24,1.7,0.7,28,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,5,28,7,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A2SEAYIAJR2YD5,24,2.06666666666667,0.0666666666666667,2,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,0,28,2,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A2SEAYIAJR2YD5,24,1.85714285714286,0.428571428571429,30,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,5,56,9,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A2SWQM5X54P1O5,24,1.375,0.375,15,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,12,15,13,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A2SWQM5X54P1O5,24,2.76666666666667,0.766666666666667,23,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,0,7,23,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A2SWQM5X54P1O5,24,1.97142857142857,0.542857142857143,38,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,12,22,36,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A2YTO4EY3MNYAJ,24,1.225,0.225,9,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,21,9,10,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A2YTO4EY3MNYAJ,24,2.13333333333333,0.4,12,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,8,10,12,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A2YTO4EY3MNYAJ,24,1.61428571428571,0.3,21,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,29,19,22,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A37WNG6DI65P9,24,1.5,0.5,20,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,8,20,12,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A37WNG6DI65P9,24,1.9,0.1,1,10,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,2,7,1,0.93531177828676,0.154912280701754
6,e1+e2,mainRoom6_12,A37WNG6DI65P9,24,1.58,0.42,21,50,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,10,27,13,0.919921625074092,0.167146965178535
6,environment 1,mainRoom6_12,A3GK9LWMSDH4P9,24,1.25,0.25,10,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,9,10,21,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A3GK9LWMSDH4P9,24,2.56666666666667,0.733333333333333,22,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,5,3,22,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A3GK9LWMSDH4P9,24,1.81428571428571,0.457142857142857,32,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,14,13,43,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A3NAHN61XJ3ZAT,24,1.725,0.725,29,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,6,29,5,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A3NAHN61XJ3ZAT,24,2.56666666666667,0.666666666666667,20,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,3,7,20,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A3NAHN61XJ3ZAT,24,2.08571428571429,0.7,49,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,9,36,25,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A3TTG9ALOZM8RC,24,1.225,0.225,9,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,15,9,16,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A3TTG9ALOZM8RC,24,2.6551724137931,0.758620689655172,22,29,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,3,4,22,0.899416735036231,0.218612623512805
6,e1+e2,mainRoom6_12,A3TTG9ALOZM8RC,24,1.82608695652174,0.449275362318841,31,69,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,18,13,38,0.90907317082446,0.190894773067677
6,environment 1,mainRoom6_12,A7E3FH32S3DK4,24,1.35,0.35,14,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,16,14,10,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A7E3FH32S3DK4,24,1.7,0.133333333333333,4,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,13,13,4,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A7E3FH32S3DK4,24,1.5,0.257142857142857,18,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,29,27,14,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,ABT1LQRU1XTPE,24,1.33333333333333,0.333333333333333,13,39,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,10,13,16,0.916817216802613,0.167747679475368
6,environment 2,mainRoom6_12,ABT1LQRU1XTPE,24,NA,NA,NA,NA,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,0,0,0,NA,NA
6,e1+e2,mainRoom6_12,ABT1LQRU1XTPE,24,NA,NA,NA,NA,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,10,13,16,0.916817216802613,0.167747679475368
6,environment 1,mainRoom6_12,AP20RSEMZHC4H,24,1.275,0.275,11,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,18,11,11,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,AP20RSEMZHC4H,24,2.6,0.7,21,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,3,6,21,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,AP20RSEMZHC4H,24,1.84285714285714,0.457142857142857,32,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,21,17,32,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,AQS3FRLPZ1VFL,24,1.2962962962963,0.296296296296296,8,27,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,14,8,5,0.933043261554938,0.176552156020755
6,environment 2,mainRoom6_12,AQS3FRLPZ1VFL,24,NA,NA,NA,NA,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,0,0,0,NA,NA
6,e1+e2,mainRoom6_12,AQS3FRLPZ1VFL,24,NA,NA,NA,NA,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,14,8,5,0.933043261554938,0.176552156020755
6,environment 1,mainRoom6_12,AYNKQRPMSDXQ3,24,1.325,0.325,13,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,17,13,10,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,AYNKQRPMSDXQ3,24,2.13793103448276,0.413793103448276,12,29,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,8,9,12,0.89893167638236,0.218612623512805
6,e1+e2,mainRoom6_12,AYNKQRPMSDXQ3,24,1.66666666666667,0.36231884057971,25,69,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,25,22,22,0.908869305593123,0.190894773067677
